,City,Lat,Lng,Temp,Humidity,Max Temp,Cloudiness,Wind Speed,Country,Date,Hotel Name
0,Mozarlândia,-14.74,-50.57,72.93,20,72.93,0,6.71,BR,1598496738,Mozarlândia
1,Kiryat Gat,31.61,34.76,71.29,81,73.99,0,4.63,IL,1598496316,Kiryat Gat
2,Dahuk,36.87,42.99,72.64,25,72.64,0,4.25,IQ,1598496743,Duhok
3,Ponta do Sol,32.67,-17.1,76.06,51,77.0,0,2.73,PT,1598496251,Ponta Do Sol
4,Portland,45.52,-122.68,73.83,57,75.99,0,1.01,US,1598496618,Portland
5,Xingyi,24.19,102.82,75.72,61,75.72,0,4.14,CN,1598496761,
6,Yuci,37.68,112.73,71.6,64,71.6,0,2.24,CN,1598496770,Yuci District
7,Jardim,-21.48,-56.14,72.75,54,72.75,0,5.79,BR,1598496775,Jardim
8,Beyneu,45.32,55.2,74.95,23,74.95,0,1.52,KZ,1598496776,Beyneu
9,São Miguel do Araguaia,-13.28,-50.16,76.15,29,76.15,0,3.44,BR,1598496781,São Miguel do Araguaia
10,Yong’an,39.7,113.69,76.01,43,76.01,0,4.03,CN,1598496784,
11,Nouadhibou,20.93,-17.03,78.8,78,78.8,0,2.24,MR,1598496314,Nouadhibou
12,Coruripe,-10.13,-36.18,70.7,79,70.7,0,6.8,BR,1598496788,Usina Coruripe
